Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
299681,harrypotterfanfiction.com,0.001551068%,-17.64%,"70,724",00:09:44,7.09,32.50%,Yes
1848427,881903.com,0.001549791%,-14.97%,"24,065",00:03:58,3.00,32.42%,
195996,singer22.com,0.001546816%,23.64%,"120,265",00:03:32,4.77,48.95%,
591378,livesets.at,0.001544767%,29.10%,"59,134",00:03:33,3.62,20.55%,
185637,printroom.com,0.001540331%,-26.50%,"75,126",00:03:38,6.03,32.12%,
279664,flutetunes.com,0.001537825%,29.04%,"80,577",00:03:44,5.58,40.10%,Yes
426564,stereodose.com,0.001534305%,70.11%,"94,054",00:05:31,4.24,22.56%,
263497,onedirectionfanfiction.com,0.001530441%,8.93%,"74,818",00:16:38,8.11,23.14%,Yes
251965,outdoorphotographer.com,0.001530187%,10.95%,"124,543",00:02:35,4.00,43.47%,
175702,cowboystudio.com,0.001528439%,7.12%,"127,741",00:03:36,5.86,50.78%,
182554,prankowl.com,0.001516340%,4.09%,"111,212",00:05:58,4.68,31.31%,
218527,501st.com,0.001513848%,33.29%,"108,326",00:03:51,9.62,44.09%,
396206,dirrtyremixes.com,0.001510341%,7.05%,"53,770",00:04:48,8.46,34.98%,
145963,plumbenefits.com,0.001504749%,18.78%,"126,638",00:05:44,8.24,13.73%,
1407265,jagobd.com,0.001504151%,42.17%,"29,140",00:06:56,3.25,33.47%,Yes
851647,gosong.net,0.001496861%,14.56%,"32,890",00:04:54,6.40,36.11%,
Estimated Visits,shop.avid.com,0.001496676%,28.66%,112,424,00:02:55,3.61,45.03%,
387142,gendou.com,0.001493959%,12.58%,"70,860",00:03:50,4.82,22.25%,
266009,wikplayer.com,0.001490040%,-5.40%,"93,460",00:06:54,5.38,49.34%,Yes
1394959,balkanje.com,0.001485092%,19.73%,"30,379",00:05:56,3.35,23.18%,
1470736,gratismusica.org,0.001482263%,-4.97%,"20,247",00:07:40,5.83,37.47%,Yes
319212,photosnack.com,0.001480402%,-11.72%,"57,667",00:04:31,6.70,38.08%,
1022868,yts.im,0.001473354%,7.22%,"39,311",00:03:38,4.05,35.82%,
221364,shiinsart.net,0.001470842%,82.76%,"168,544",00:02:45,3.55,20.28%,
1214081,mrcrab.net,0.001463575%,11.39%,"33,832",00:02:50,3.91,42.19%,
247914,icarly.com,0.001460425%,-11.15%,"75,943",00:05:39,5.61,37.42%,
151253,tangocard.com,0.001459111%,30.07%,"155,723",00:03:31,6.25,18.92%,
1459383,doregama.info,0.001458452%,-22.66%,"20,236",00:03:34,3.48,50.95%,
204625,expotv.com,0.001440435%,-12.30%,"101,923",00:05:32,5.27,29.56%,Yes
5741541,subtitulos.es,0.001432994%,85.64%,"12,592",00:02:56,2.79,44.24%,Yes
149054,lileks.com,0.001430329%,17.46%,"133,815",00:03:32,5.16,15.34%,Yes
154294,myvirtualchild.com,0.001429559%,17.01%,"164,886",00:11:47,3.85,8.15%,
683021,otonomai.net,0.001429494%,12.32%,"44,968",00:03:39,4.40,28.17%,
Estimated Visits,dar.fm,0.001429408%,-15.36%,133,478,00:03:17,3.47,16.75%,
189329,kompoz.com,0.001425509%,18.12%,"109,425",00:10:37,10.32,24.91%,
2742005,kpopn.com,0.001421536%,49.15%,"12,422",00:02:57,4.36,45.04%,Yes
799555,themezilla.com,0.001420386%,-3.29%,"46,384",00:02:35,3.02,46.02%,
301332,dissolve.com,0.001411842%,-13.67%,"73,702",00:04:42,6.55,36.08%,
189219,dubbedanime.tv,0.001399997%,-32.48%,"86,749",00:08:43,6.03,43.16%,
207199,chemsrus.com,0.001396791%,5.90%,"120,093",00:07:58,6.63,40.27%,
296376,telugucinema.com,0.001391532%,7.09%,"113,567",00:02:55,3.23,29.86%,Yes
453110,nzbtvseeker.com,0.001390352%,43.40%,"73,496",00:02:49,5.55,36.84%,
279846,asianuniverse.net,0.001364198%,-3.42%,"88,603",00:02:48,3.40,47.60%,
333350,qnvod.net,0.001363272%,4.40%,"75,704",00:04:41,4.89,21.71%,
137068,hos.com,0.001362255%,4.07%,"181,380",00:02:40,18.07,41.32%,
7618893,ahnegao.com.br,0.001360902%,6.64%,"4,861",00:05:55,2.93,47.35%,Yes
128047,teamphotonetwork.com,0.001359361%,30.22%,"172,408",00:04:32,5.18,28.33%,
434118,starnow.com,0.001355122%,0.65%,"50,716",00:03:31,6.09,49.71%,
515894,everystockphoto.com,0.001354550%,5.75%,"45,657",00:02:52,5.00,31.84%,
913265,dramacrazy.eu,0.001345148%,2.97%,"37,920",00:04:33,3.14,41.81%,
Estimated Visits,studybass.com,0.001345058%,7.74%,130,901,00:02:58,3.08,63.96%,Yes
395763,radio.batanga.com,0.001343356%,-28.87%,"47,104",00:07:37,5.11,20.73%,
974650,audionetwork.com,0.001342485%,34.07%,"29,938",00:04:55,6.14,43.39%,
1214446,issuein.com,0.001341909%,8.42%,"14,961",00:15:41,21.92,26.98%,Yes
154211,rutvclub.com,0.001336098%,-26.83%,"134,390",00:07:56,3.12,10.51%,
246915,indabamusic.com,0.001330650%,9.46%,"92,170",00:03:50,5.27,29.98%,
161019,gobi3.com,0.001310030%,34.43%,"112,707",00:11:56,9.80,7.70%,
275879,picturetrail.com,0.001304998%,11.42%,"76,660",00:03:51,10.82,33.73%,Yes
123835,nightshift.co,0.001302632%,18.62%,"146,301",00:06:38,9.62,33.23%,
505660,vidiload.com,0.001301082%,-11.77%,"71,294",00:02:53,2.81,36.63%,
142505,firstcom.com,0.001299598%,26.84%,"144,877",00:09:43,8.53,10.35%,
330363,nvd3.org,0.001289508%,-0.08%,"85,546",00:03:45,4.80,40.36%,
213045,breakfreemovies.biz,0.001282987%,-5.37%,"96,073",00:02:39,6.14,36.49%,
157792,heruniverse.com,0.001281192%,22.21%,"154,445",00:03:55,5.64,29.20%,
275110,motu.com,0.001272192%,4.88%,"104,863",00:03:40,3.15,47.17%,
128903,dogstarradio.com,0.001270610%,18.09%,"183,737",00:09:41,5.90,10.80%,Yes
122673,enjoyphotos.com,0.001268708%,23.56%,"155,178",00:08:42,9.70,18.45%,
167485,colorslive.com,0.001266911%,3.44%,"136,444",00:06:42,6.53,44.23%,
311097,penguinlodge.com,0.001264347%,-23.24%,"82,516",00:06:56,3.68,37.83%,Yes
124947,showmojo.com,0.001261713%,-2.21%,"188,907",00:03:43,2.62,49.09%,
245105,musopen.org,0.001260408%,25.44%,"89,042",00:02:38,5.62,42.35%,Yes
163892,justhearit.com,0.001258826%,18.74%,"95,422",00:13:37,12.49,20.24%,
Estimated Visits,nikonimglib.com,0.001258459%,-14.29%,50,957,00:01:52,2.32,43.80%,
167430,mun2.tv,0.001258162%,62.27%,"165,681",00:06:46,6.21,40.51%,
201974,lolbrary.com,0.001257083%,35.33%,"146,582",00:05:53,7.57,42.79%,Yes
119790,mainevent.com,0.001252152%,3.56%,"165,551",00:04:37,4.77,21.54%,
141565,postwire.com,0.001249780%,10.22%,"161,893",00:05:32,3.71,31.21%,
165154,daystar.com,0.001246125%,-12.53%,"169,145",00:03:45,2.53,39.15%,
1051415,crackinn.com,0.001245501%,-30.89%,"21,515",00:02:48,4.55,29.80%,
8577793,jaidefinichon.com,0.001238161%,40.83%,"3,466",00:08:48,5.10,32.80%,Yes
151317,macromeme.com,0.001236848%,25.48%,"75,629",00:08:34,49.59,26.72%,
116850,ciclavia.org,0.001235111%,106.72%,"363,924",00:02:48,3.51,28.64%,
167736,stuffwhitepeoplelike.com,0.001227707%,29.55%,"176,338",00:02:47,3.71,49.09%,Yes
225645,pitchenvy.com,0.001226253%,7.09%,"138,086",00:03:37,3.13,42.58%,Yes
1451526,melon.com,0.001224404%,49.34%,"20,953",00:03:48,3.51,47.96%,
529850,dmm.hk,0.001221911%,4.41%,"83,861",00:06:51,2.91,48.35%,
157042,ikimaru.tumblr.com,0.001218757%,47.25%,"173,249",00:03:32,3.56,50.00%,
593298,hgtv.ca,0.001217329%,32.77%,"34,501",00:02:32,18.83,37.35%,Yes
119782,goodseattickets.com,0.001215167%,29.27%,"235,552",00:02:41,2.60,31.33%,
151822,fractureme.com,0.001214981%,16.57%,"120,657",00:04:38,4.38,28.58%,
175382,hipknoties.com,0.001214914%,,"1,258,446",00:03:42,3.48,33.63%,
196554,inflatechan.net,0.001214528%,23.24%,"124,590",00:03:38,4.93,26.48%,
153292,3abn.org,0.001210927%,-20.97%,"143,379",00:03:57,2.70,29.24%,
113376,ouryear.com,0.001206525%,,"427,954",00:02:36,5.04,11.92%,
186493,thedailymosh.com,0.001194460%,,"221,315",00:09:35,7.25,14.44%,
111862,vettix.org,0.001187092%,-3.11%,"165,848",00:04:37,5.29,24.56%,
196205,mycomicpost.com,0.001185865%,11.34%,"131,135",00:04:33,4.43,31.52%,
120458,mpixpro.com,0.001180416%,3.39%,"158,214",00:03:39,6.05,26.41%,
420898,zizki.com,0.001174520%,47.29%,"26,097",00:10:42,48.73,29.11%,
Estimated Visits,whatiwore.tumblr.com,0.001174087%,6.57%,217,221,00:01:22,1.61,66.06%,
765009,mananhnho.net,0.001171928%,2.18%,"32,112",00:04:57,4.64,30.80%,
110507,indianamarching.com,0.001170594%,66.80%,"209,266",00:05:51,8.94,11.47%,
113105,wowbrary.org,0.001168633%,2.47%,"152,954",00:04:31,7.32,33.18%,
942261,22tracks.com,0.001168167%,7.84%,"24,453",00:24:36,12.38,11.39%,Yes
260213,mypanchang.com,0.001167136%,19.02%,"121,788",00:02:43,2.61,41.00%,Yes
129336,instocktrades.com,0.001164688%,59.11%,"190,412",00:05:36,9.50,20.04%,
1269807,rightel.ir,0.001164136%,-24.76%,"16,174",00:05:38,2.87,36.32%,
115219,juniorlibraryguild.com,0.001161130%,-8.21%,"125,331",00:06:48,9.99,46.09%,
142836,ugallery.com,0.001160125%,-9.94%,"107,271",00:03:44,5.77,34.00%,
122622,fancred.com,0.001159108%,11.75%,"142,727",00:05:55,12.26,36.15%,
293519,dropr.com,0.001158738%,-6.54%,"59,512",00:03:57,13.79,37.22%,
421399,putdrive.com,0.001158287%,12.09%,"65,048",00:05:43,6.02,23.71%,
131609,jwraps.com,0.001152647%,60.09%,"194,773",00:04:36,8.16,16.92%,
136311,jazz.org,0.001150027%,7.21%,"189,817",00:02:48,3.34,31.56%,
185626,nextbigsound.com,0.001144183%,21.84%,"118,967",00:05:54,5.70,25.96%,
209927,smartsound.com,0.001140975%,-10.41%,"60,018",00:02:42,4.15,46.09%,
107552,panicfreaks.org,0.001138004%,-15.87%,"116,981",00:22:36,13.46,7.80%,
144251,dp.la,0.001135925%,0.94%,"141,676",00:03:49,4.42,49.21%,
11803583,nocoty.pl,0.001134747%,5.78%,"2,128",00:03:35,6.94,20.75%,
159901,dbzepisode.org,0.001127685%,-37.20%,"114,907",00:18:49,4.07,22.43%,
246617,taylorpictures.net,0.001127327%,60.94%,"88,775",00:06:56,18.85,25.51%,Yes
136925,razorgator.com,0.001126523%,-1.49%,"155,278",00:02:45,3.62,30.67%,
106745,internetjock.com,0.001121578%,44.92%,"257,332",00:10:56,6.54,5.17%,
165217,photospin.com,0.001118709%,16.53%,"112,162",00:05:58,12.76,32.10%,
256565,thesession.org,0.001118569%,15.31%,"99,368",00:03:33,3.30,49.03%,
2789840,nhacso.net,0.001116431%,19.64%,"12,978",00:05:37,3.67,49.53%,
Estimated Visits,doujinstyle.com,0.001115946%,-15.08%,93,200,00:10:01,7.34,40.06%,
478306,parslivetv.eu,0.001107593%,18.62%,"81,732",00:09:49,6.33,17.73%,Yes
700532,baozoumanhua.com,0.001104906%,0.54%,"41,370",00:08:36,5.08,35.18%,
681363,katmirror.com,0.001103816%,8.03%,"39,331",00:08:44,7.85,14.65%,
680467,delicast.com,0.001099670%,26.98%,"51,493",00:03:58,3.49,30.04%,
103599,yearbookforever.com,0.001099405%,27.64%,"205,200",00:02:50,5.17,21.65%,
1874756,kure.tv,0.001097153%,-20.25%,"21,821",00:04:43,3.88,29.08%,Yes
2568569,vetealaversh.com,0.001095632%,34.65%,"21,042",00:06:58,4.11,44.82%,Yes
103947,mycod.us,0.001093776%,-44.20%,"157,721",00:03:32,2.57,6.66%,
3153349,ticketmaster.co.uk,0.001092382%,24.28%,"10,172",00:02:38,6.63,43.36%,
112839,showfax.com,0.001091585%,9.93%,"138,845",00:04:43,9.93,19.87%,
855323,133133.net,0.001087674%,-33.84%,"41,809",00:04:40,4.02,15.59%,
144673,wayfm.com,0.001084471%,56.29%,"228,956",00:02:52,3.13,33.98%,
303182,littlemonsters.com,0.001079083%,-19.75%,"77,114",00:02:56,4.76,47.23%,
2786656,seriesyonkis.com,0.001078888%,-31.58%,"11,026",00:03:55,3.72,30.29%,
1480173,elcinema.com,0.001078518%,34.81%,"27,802",00:02:40,3.51,48.77%,Yes
Estimated Visits,dom2.ru,0.001078168%,-7.94%,3,202,00:06:52,4.02,13.29%,
524032,internetcine.org,0.001076542%,-0.60%,"64,923",00:02:58,2.71,44.40%,
479247,181.fm,0.001070045%,-19.77%,"21,091",00:48:39,51.62,29.00%,
546000,cinematicket.org,0.001069948%,-14.45%,"40,456",00:04:50,4.83,26.02%,
134196,hubski.com,0.001067648%,38.47%,"176,155",00:08:36,5.61,37.17%,
257994,torrentpond.com,0.001066425%,-23.25%,"75,248",00:07:43,4.66,37.71%,
196971,photopeach.com,0.001065947%,4.17%,"107,004",00:07:53,6.97,43.45%,Yes
188197,relapse.com,0.001064859%,2.54%,"107,067",00:05:43,9.61,30.28%,
805595,vhx.tv,0.001055820%,34.31%,"45,256",00:07:50,3.18,41.64%,
1223693,vtc.com.vn,0.001054302%,6.78%,"22,667",00:08:54,2.68,25.36%,Yes
103982,wqam.com,0.001052940%,-18.85%,"201,201",00:04:58,3.80,39.71%,
171059,arista.com,0.001051198%,41.73%,"198,564",00:02:42,2.88,45.94%,
527838,dianying.fm,0.001047811%,22.44%,"48,890",00:03:31,5.83,17.70%,
488507,house-mixes.com,0.001046612%,22.34%,"52,897",00:05:43,6.61,40.13%,Yes
306273,hotmobile.co.il,0.001041554%,19.96%,"77,639",00:03:51,4.02,32.74%,
4171903,nontonmovie.com,0.001041215%,,"10,092",00:05:54,3.54,41.93%,
229359,atomos.com,0.001039333%,4.31%,"130,552",00:03:50,3.34,42.38%,
131891,retouchup.com,0.001037332%,-5.11%,"145,954",00:05:42,5.31,14.76%,
143785,zentangle.com,0.001036256%,7.50%,"192,441",00:02:36,3.40,41.01%,
560972,filmfare.com,0.001032419%,8.67%,"58,214",00:02:43,5.32,49.70%,Yes
724066,tamiltorrents.net,0.001030996%,2.29%,"37,284",00:02:46,7.82,12.03%,
717727,xindm.cn,0.001029802%,-29.01%,"16,455",00:11:31,29.84,35.67%,
334607,foter.com,0.001028648%,16.83%,"28,482",00:09:34,71.72,26.98%,
Estimated Visits,movableink.com,0.001028554%,,92,260,00:02:36,1.91,46.53%,
104533,replayit.com,0.001022851%,41.73%,"166,934",00:05:34,11.95,32.12%,
215453,tvpolonia.com,0.001018017%,-44.57%,"107,048",00:06:50,4.95,9.84%,
244162,injustice.com,0.001015831%,14.80%,"116,543",00:02:41,3.99,40.15%,
343055,indastro.com,0.001012798%,-1.08%,"80,544",00:02:49,3.91,45.56%,Yes
739513,z0r.de,0.001009961%,65.13%,"24,003",00:04:35,16.73,47.44%,Yes
105406,docnyc.net,0.001009668%,,"879,441",00:03:49,2.96,38.23%,
1022190,raagalahari.com,0.001009356%,50.18%,"23,407",00:04:51,10.17,29.93%,Yes
134666,lunaescence.com,0.001007308%,-35.52%,"89,903",00:09:42,6.26,32.48%,
1648442,nicozon.net,0.001005395%,-2.00%,"20,509",00:03:32,2.63,43.88%,Yes
152132,whoselineonline.org,0.001005304%,,"290,730",00:03:51,4.43,34.34%,
97061,wxedge.com,0.001001357%,37.51%,"241,677",00:05:35,5.23,49.90%,
285422,alexaboostup.com,0.000998072%,-20.06%,"26,857",02:12:36,176.36,19.74%,
138312,multitracks.com,0.000995633%,5.83%,"164,722",00:05:32,4.87,34.46%,
158911,unfriendable.com,0.000992473%,-46.87%,"91,134",00:04:31,4.24,35.39%,Yes
2491063,unionpeer.org,0.000991345%,16.38%,"9,083",00:06:33,11.38,44.50%,
100881,missiontix.com,0.000986733%,-21.56%,"173,169",00:02:39,4.30,45.03%,
372837,nhachot.info,0.000985906%,14.11%,"88,879",00:02:47,3.68,32.15%,
197254,dvdempire.com,0.000984632%,-11.05%,"105,684",00:05:32,5.37,35.98%,
2535021,dunya.com.pk,0.000977660%,-16.47%,"10,511",00:05:44,3.36,39.93%,Yes
191717,dxwatch.com,0.000975098%,18.89%,"169,214",00:03:43,3.34,44.39%,Yes
92984,mrlocke.com,0.000973787%,-4.98%,"245,367",00:03:57,3.02,29.84%,
1771388,freerutor.com,0.000972112%,15.69%,"20,482",00:06:37,3.43,42.24%,
161293,freedrumkits.net,0.000968139%,-24.12%,"107,144",00:04:37,5.28,39.61%,Yes
106658,cityofnorthlasvegas.com,0.000966959%,-2.96%,"165,291",00:03:53,4.84,35.94%,
196074,tekkenzaibatsu.com,0.000965731%,41.90%,"172,950",00:03:45,2.81,46.31%,Yes
622749,slice.ca,0.000964873%,-9.47%,"32,054",00:02:50,8.64,38.26%,Yes
2593711,skymovies.in,0.000964855%,-21.55%,"12,353",00:04:56,3.38,44.84%,
Estimated Visits,guidetovaping.com,0.000964720%,16.92%,250,336,00:02:03,3.18,30.23%,Yes
7860851,streamay.com,0.000962969%,15.25%,"4,355",00:04:52,3.99,40.95%,
181693,awesomeweb.com,0.000961327%,-8.37%,"72,196",00:12:45,9.31,36.50%,
130955,metamorphose.org,0.000958376%,49.19%,"234,009",00:04:50,5.06,19.39%,
419425,electrobuzz.me,0.000955234%,-3.30%,"60,095",00:04:58,4.15,34.56%,Yes
161610,yaesu.com,0.000952942%,25.24%,"164,271",00:02:48,3.15,45.43%,
6418099,adultmult.tv,0.000946301%,12.19%,"6,579",00:11:33,3.56,41.52%,
264554,eqsl.cc,0.000944156%,60.26%,"75,777",00:03:59,9.91,15.32%,Yes
98752,arttoframe.com,0.000942709%,8.14%,"118,606",00:03:54,13.54,34.72%,
532241,musictonic.com,0.000940549%,-14.71%,"46,001",00:10:48,5.56,46.11%,
280901,filmconvert.com,0.000939846%,25.09%,"144,029",00:03:58,4.17,29.41%,
474656,metalarea.org,0.000939729%,18.02%,"63,971",00:07:33,3.39,35.28%,
90106,more.lib.wi.us,0.000937406%,16.32%,"208,016",00:03:43,4.32,30.66%,
1645502,listen2myradio.com,0.000937337%,16.35%,"17,964",00:05:54,9.58,36.18%,
8395544,6play.fr,0.000936023%,-11.16%,"4,203",00:05:36,2.80,26.05%,
113360,stylemined.com,0.000934997%,,"340,724",00:05:48,6.81,22.38%,
160076,khmeravenue.com,0.000932528%,,"452,422",00:03:53,3.48,36.36%,
327722,makemebabies.com,0.000931459%,8.33%,"64,280",00:05:54,11.70,18.04%,Yes
1287086,runtamil.com,0.000929468%,-25.68%,"27,630",00:02:40,2.89,40.60%,
Estimated Visits,clubglow.com,0.000929016%,31.92%,361,455,00:00:56,1.80,53.66%,
103354,digitaldjpool.com,0.000925802%,6.43%,"230,788",00:03:48,3.28,47.48%,
109304,wbgo.org,0.000925185%,9.56%,"256,292",00:02:55,2.61,34.31%,
216957,dramastyle.com,0.000924119%,-7.75%,"120,634",00:05:59,2.92,33.99%,
617919,nfohump.com,0.000919454%,-12.21%,"41,655",00:08:32,3.80,26.17%,
324486,hi10anime.com,0.000918609%,24.76%,"115,659",00:05:51,4.08,16.76%,
140487,animeftw.tv,0.000918188%,-33.27%,"153,005",00:14:36,3.94,22.32%,
92524,artist-gossips.tumblr.com,0.000916343%,42.76%,"360,141",00:09:59,5.20,26.03%,
102517,nurph.com,0.000916024%,10.92%,"140,443",00:19:33,13.11,27.80%,
124888,babyfirsttv.com,0.000914500%,-4.86%,"145,416",00:06:36,5.27,32.89%,Yes
530537,moko.cc,0.000912686%,-2.17%,"42,437",00:02:47,4.28,47.82%,
886805,aida64.com,0.000911859%,25.55%,"55,291",00:02:31,2.57,34.20%,Yes
157940,teradek.com,0.000908993%,2.51%,"156,290",00:04:41,4.00,36.32%,
85616,arttix.org,0.000907755%,,"322,039",00:04:35,4.51,30.94%,
119787,mostlymusic.com,0.000907533%,7.42%,"176,629",00:05:40,7.46,34.05%,
197856,extrememusic.com,0.000906649%,36.10%,"82,755",00:05:56,20.12,7.65%,
613710,news.tbs.co.jp,0.000903710%,,"87,994",00:07:37,2.64,42.45%,Yes
824849,tvynovelas.com,0.000900201%,1.74%,"50,939",00:02:46,2.52,46.68%,
350016,neterra.tv,0.000898591%,-36.11%,"68,559",00:07:43,5.30,4.22%,
136561,rosco.com,0.000898221%,18.48%,"176,535",00:02:52,4.68,45.23%,
90083,snarescience.com,0.000895145%,,"345,671",00:03:37,4.18,45.56%,Yes
141788,wb270.com,0.000893651%,34.43%,"112,591",00:02:32,10.73,19.06%,
141507,becauseimaddicted.net,0.000893184%,20.63%,"68,010",00:03:39,50.93,47.04%,Yes
5811122,naointendo.com.br,0.000891995%,28.89%,"6,843",00:04:43,2.70,42.04%,
228690,shitbrix.com,0.000890539%,29.53%,"79,952",00:04:56,16.31,44.48%,Yes
Estimated Visits,badasslol.com,0.000890191%,9.24%,126,191,00:00:54,1.31,75.89%,Yes
410779,iranconcert.com,0.000888386%,-43.09%,"52,386",00:03:45,2.58,46.32%,
903276,purpleport.com,0.000888172%,13.42%,"17,648",00:03:58,13.08,45.15%,
142745,tvmovieflix.com,0.000887519%,-19.61%,"162,516",00:05:35,4.03,22.62%,
115897,fjwestcott.com,0.000886264%,26.56%,"234,068",00:03:42,3.42,47.31%,
128484,jhallcomics.com,0.000882484%,-26.00%,"119,747",00:03:55,9.17,45.29%,
1497810,tubidy.mobi,0.000880686%,-7.71%,"12,575",00:09:51,6.30,16.23%,
86930,xmfan.com,0.000879679%,27.55%,"221,799",00:14:33,9.07,27.24%,
96133,nowcasting.com,0.000879407%,-3.83%,"162,305",00:02:37,7.28,18.69%,
115937,videolicious.com,0.000879149%,27.64%,"205,983",00:03:58,3.44,29.96%,
97065,kpfa.org,0.000877804%,-6.56%,"212,654",00:02:45,3.83,41.35%,
88996,repeaterbook.com,0.000877344%,10.63%,"178,407",00:06:51,6.18,40.19%,Yes
179551,auphonic.com,0.000877020%,-7.24%,"150,333",00:06:52,4.26,36.46%,
9414483,wareztuga.tv,0.000873657%,16.45%,"2,301",00:05:52,6.32,18.88%,
5250571,acunn.com,0.000872541%,6.20%,"6,433",00:05:51,5.00,42.06%,
456053,caffecinema.com,0.000871070%,10.49%,"72,831",00:03:56,7.13,42.72%,
1057318,tvpelis.net,0.000870664%,5.66%,"24,612",00:06:36,4.17,25.50%,
175000,creativeallies.com,0.000870432%,-23.35%,"101,472",00:08:44,7.77,37.86%,Yes
99403,kompamagazine.com,0.000868233%,21.00%,"209,760",00:03:48,3.01,42.40%,Yes
86305,fiveeightforums.com,0.000866688%,-16.90%,"147,576",00:20:49,7.97,7.12%,
438326,louisansa.com,0.000865898%,,"188,447",00:02:39,3.72,8.59%,
86991,landlordwatchlist.com,0.000863500%,,"15,115,095",00:02:49,5.63,16.13%,
1914590,mp4mobilemovies.net,0.000862973%,0.01%,"12,944",00:06:41,10.77,34.55%,
Estimated Visits,peteranswers.com,0.000862778%,50.92%,89,956,00:02:53,1.58,66.76%,Yes
250457,zeebangla.com,0.000862222%,-1.63%,"82,808",00:07:43,3.19,34.50%,Yes
2858757,mangaku.web.id,0.000859931%,2.31%,"11,073",00:06:39,3.25,38.44%,
92891,rosebrand.com,0.000859448%,1.55%,"212,891",00:03:56,5.66,45.55%,
124093,alexhonnold.com,0.000858763%,,"1,623,714",00:03:35,16.71,11.32%,
151083,themusicbed.com,0.000857300%,-78.81%,"31,052",00:05:55,6.57,27.77%,
1347488,lyngsat.com,0.000856452%,-37.48%,"19,592",00:04:41,4.02,43.66%,Yes
8605460,kapanlagi.com,0.000855571%,-13.63%,"3,287",00:06:56,3.74,47.47%,
1988042,manga24h.com,0.000855535%,11.27%,"13,583",00:08:54,4.86,46.07%,
3722614,anakbnet.com,0.000855171%,-25.48%,"10,075",00:03:56,8.97,38.71%,
107945,cigarboxnation.com,0.000854811%,14.42%,"203,983",00:13:34,8.95,31.83%,
202770,besteyecandy.com,0.000849478%,0.57%,"61,799",00:05:45,19.38,29.39%,
766922,fashionpulis.com,0.000849261%,-4.82%,"36,815",00:07:37,3.93,16.98%,Yes
275112,megatorrents.kg,0.000846600%,-28.62%,"100,853",00:03:51,3.62,8.99%,
115674,deadformat.net,0.000845113%,38.82%,"248,540",00:04:57,5.08,43.42%,
5475528,kodhit.com,0.000844440%,,"3,539",00:10:37,3.58,35.98%,
Estimated Visits,rapmusic.com,0.000844422%,14.92%,275,169,00:01:22,1.53,83.60%,Yes
149175,classtab.org,0.000843236%,,"167,972",00:06:47,6.06,38.45%,
86936,broadwayoffers.com,0.000842945%,-14.20%,"128,546",00:05:44,12.63,13.03%,
84878,tommyjohn.com,0.000842031%,,"7,153,572",00:02:47,5.89,16.95%,
2316157,ngoisao.vn,0.000840601%,8.49%,"13,101",00:04:49,3.85,33.69%,Yes
1004651,crunchyroll.ca,0.000839597%,34.84%,"35,367",00:07:55,3.30,42.89%,
158823,itmejp.com,0.000839382%,,"708,184",00:02:38,2.62,46.60%,
249425,customaniacs.org,0.000836204%,-4.14%,"104,726",00:04:57,5.15,24.64%,
2456794,exitoina.com,0.000834439%,-17.96%,"8,807",00:07:47,7.64,37.49%,
1467802,pelisonlinehd.com,0.000833441%,1.79%,"24,493",00:03:34,3.34,43.36%,
200659,renpy.org,0.000832093%,18.14%,"157,429",00:08:57,3.66,42.77%,
128716,inworldz.com,0.000831874%,-25.45%,"173,615",00:07:56,3.90,31.18%,
82768,faio.org,0.000830613%,3.98%,"265,827",00:07:50,2.98,24.55%,Yes
142807,elliottwavetrader.net,0.000828942%,44.66%,"226,704",00:03:38,2.68,39.95%,
187327,instaport.me,0.000827583%,-0.40%,"147,617",00:03:46,5.25,27.83%,
83217,bavc.org,0.000826226%,-3.30%,"231,052",00:02:47,3.00,50.72%,
164775,5hfanfiction.tumblr.com,0.000826020%,26.93%,"167,829",00:06:58,4.35,42.10%,
1654244,manodienynas.lt,0.000824276%,-55.76%,"12,859",00:29:45,18.05,16.56%,
116347,theslap.com,0.000822784%,-4.76%,"138,476",00:06:38,6.88,21.87%,
641197,mzhiphop.com,0.000822027%,-16.46%,"37,076",00:05:35,5.21,36.04%,
167319,soundexchange.com,0.000820561%,0.91%,"123,112",00:02:40,3.11,39.98%,
1362567,vasi.net,0.000817789%,12.23%,"20,317",00:06:45,7.78,34.62%,
82682,decluttr.com,0.000817505%,-7.82%,"162,779",00:09:36,13.44,31.95%,
315021,musicaddict.com,0.000809763%,37.95%,"57,712",00:21:53,17.44,20.86%,
Estimated Visits,idphoto4you.com,0.000809703%,-12.55%,85,327,00:06:33,3.98,36.86%,Yes
318924,hoverstat.es,0.000809210%,40.15%,"115,608",00:02:33,3.66,49.80%,
114495,criterionforum.org,0.000807841%,,"226,407",00:04:40,4.10,45.68%,Yes
748711,truyenyy.com,0.000807151%,-3.83%,"23,739",00:15:42,8.43,34.96%,Yes
269972,gridster.net,0.000805426%,12.23%,"114,480",00:02:31,3.38,42.11%,
105021,lob.com,0.000804913%,-9.99%,"175,688",00:02:51,2.79,46.47%,
83553,ldsavow.com,0.000803769%,-13.15%,"176,794",00:11:37,6.73,19.26%,
87391,photoflashdrive.com,0.000802261%,,"170,041",00:05:57,12.10,22.39%,
1058762,europaconcorsi.com,0.000800618%,37.70%,"27,886",00:02:34,4.10,50.23%,Yes
94731,taptogo.net,0.000799828%,-27.21%,"95,148",00:02:52,2.80,41.57%,
